StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.83372281,7,1,2,0,0,1,0,2.929195592,2
1002,18,0,0,1,15.40875606,0,0,1,0,0,0,0,3.042914833,1
1003,15,0,2,3,4.210569769,26,0,2,0,0,0,0,0.112602254,4
1004,17,1,0,3,10.02882947,14,0,3,1,0,0,0,2.05421814,3
1005,17,1,0,2,4.672495273,17,1,3,0,0,0,0,1.288061182,4
1006,18,0,0,1,8.191218545,0,0,1,1,0,0,0,3.084183614,1
1007,15,0,1,1,15.60168047,10,0,3,0,1,0,0,2.748237415,2
1008,15,1,1,4,15.42449631,22,1,1,1,0,0,0,1.360142712,4
1009,17,0,0,0,4.562007558,1,0,2,0,1,0,1,2.89681919,2
1010,16,1,0,1,18.44446636,0,0,3,1,0,0,0,3.57347421,0
1011,17,0,0,1,11.85136366,11,0,1,0,0,0,0,2.147171625,3
1012,17,0,0,1,7.598485819,15,0,2,0,0,0,1,1.559594519,4
1013,17,0,1,1,10.03871162,21,0,3,1,0,0,0,1.520077815,4
1014,17,0,1,2,12.10142507,21,0,4,0,1,0,0,1.751580958,4
1015,18,1,0,1,11.19781064,9,1,2,0,0,0,0,2.396788117,3
1016,15,0,0,2,9.728100711,17,1,0,0,1,0,0,1.341520717,4
1017,18,0,3,1,10.09865608,14,0,2,1,1,0,0,2.232175278,3
1018,18,1,0,0,3.528238209,16,1,2,0,0,0,0,1.384404176,4
1019,18,0,1,3,16.25465809,29,0,2,1,0,0,1,0.469553323,4
1020,17,0,0,1,10.8352064,9,0,2,0,0,1,0,2.395784095,3
1021,16,1,0,3,2.621597234,2,0,3,0,0,0,1,2.7784113,2
1022,15,0,0,2,15.32314203,25,0,1,1,0,0,0,0.346894037,4
1023,16,1,1,0,18.64887957,29,1,1,0,0,0,0,0.312546231,4
1024,18,1,3,4,18.94613798,20,0,2,1,0,0,0,1.770131877,4
1025,18,1,0,1,7.380354648,15,0,2,0,0,0,0,1.505155622,4
1026,16,1,0,3,2.710337471,5,0,4,0,0,1,0,2.977851918,2
1027,16,0,0,1,10.36799253,2,0,2,0,1,0,0,2.948717672,2
1028,16,1,0,3,2.252184587,8,0,3,0,0,1,0,2.14520472,3
1029,18,0,0,0,18.67974837,10,0,3,1,0,0,0,2.854803929,2
1030,18,0,0,2,3.671592547,20,0,3,1,0,0,0,1.519441726,4
1031,15,0,2,2,5.055317199,12,1,0,0,1,0,0,1.72712031,4
1032,15,0,0,3,8.132730538,17,0,4,0,0,0,1,1.847535471,4
1033,18,0,0,3,7.663289371,25,0,1,0,1,0,0,0.384616973,4
1034,16,0,3,3,15.89325785,21,0,0,1,1,0,0,0.949406098,4
1035,16,0,0,3,9.126336411,27,1,2,1,1,0,0,1.140959418,4
1036,15,0,3,1,3.4153652,23,0,1,0,0,0,0,0.26147226,4
1037,18,0,0,1,5.34419791,26,1,1,0,0,0,0,0.218284857,4
1038,15,0,2,1,10.1822677,21,1,1,0,1,0,0,1.067763551,4
1039,15,1,1,1,2.949078349,3,1,1,1,1,0,0,3.018905858,1
1040,17,1,2,1,12.23311351,21,1,3,1,1,0,0,1.526867832,4
1041,17,1,3,2,11.31494613,23,1,1,0,0,0,0,1.0582874,4
1042,17,0,0,1,14.29404633,7,0,2,0,0,0,0,2.625128098,2
1043,16,1,3,2,18.75409231,12,1,4,0,0,0,0,2.808754822,2
1044,18,1,0,1,18.24509122,9,0,2,0,1,0,0,2.888891669,2
1045,18,1,0,1,18.92151236,1,1,3,1,1,0,0,4,0
1046,18,0,0,2,4.89431194,7,0,4,0,0,1,0,2.515300272,2
1047,18,0,1,2,2.631306133,5,0,1,1,0,0,0,2.56376543,2
1048,17,0,0,2,6.04553401,15,0,2,0,0,0,0,1.703611803,4
1049,16,0,1,2,17.90170346,17,0,3,0,0,1,0,2.099885157,3
1050,16,1,1,1,19.44106949,16,0,4,1,0,0,0,2.461046963,3
1051,17,1,2,2,17.18649902,5,0,3,0,0,0,0,2.935477192,2
1052,16,1,2,0,2.200354423,12,1,1,1,0,1,0,1.986378059,4
1053,17,1,0,1,18.94855996,22,0,4,0,0,1,0,1.571544191,4
1054,18,0,0,2,8.467160547,13,0,1,0,1,0,0,1.66431069,4
1055,17,0,0,0,0.186205815,29,1,2,1,1,0,0,0.756259167,4
1056,18,0,0,1,8.847874815,25,0,2,0,1,0,0,0.802769539,4
1057,18,1,0,4,0.921383394,20,0,2,0,1,1,0,1.342387178,4
1058,15,0,0,4,10.87755842,29,0,3,1,0,0,0,0.286571288,4
1059,17,0,0,1,6.771080549,9,1,3,0,1,0,0,2.613838694,2
1060,15,1,3,0,9.468698672,23,0,3,0,1,0,0,0.929012555,4
1061,17,1,1,1,12.26340721,10,0,0,1,0,1,0,1.892758696,4
1062,17,0,0,1,17.37602192,12,0,2,0,0,1,0,2.331261549,3
1063,15,0,1,3,13.23803153,11,0,3,0,1,0,0,2.234238473,3
1064,15,0,0,1,8.68097737,8,0,2,0,1,0,0,2.385828219,3
1065,17,0,0,2,16.38855707,3,1,4,0,0,0,0,3.347356744,1
1066,16,0,1,1,18.11164275,6,1,3,1,0,0,0,3.261855307,1
1067,18,0,0,4,2.395199329,23,0,3,0,1,0,0,1.039623879,4
1068,15,1,0,1,10.63865955,28,0,0,0,1,0,0,0.027818625,4
1069,18,1,3,2,5.690239195,21,1,3,0,0,1,0,1.329964538,4
1070,16,1,2,1,0.941223958,1,0,4,0,0,1,0,3.283916522,1
1071,16,0,1,2,13.3709339,6,0,2,1,0,0,0,2.937454182,2
1072,16,1,1,1,17.25541555,28,0,3,0,0,1,1,0.738868203,4
1073,15,0,1,1,3.25805309,8,0,2,1,1,0,0,2.556801663,2
1074,16,0,0,3,16.24827315,4,1,2,0,0,0,0,3.300928569,1
1075,15,1,0,3,17.06791467,14,0,3,1,0,1,0,2.200682947,3
1076,16,0,0,3,18.28680885,17,0,3,0,1,0,0,1.855865573,4
1077,18,0,0,2,5.305701782,3,0,3,0,0,0,0,2.734401494,2
1078,18,1,1,3,18.0790613,18,1,1,1,1,0,0,2.131737297,3
1079,17,1,0,0,6.413255095,19,0,1,0,0,0,0,0.979769911,4
1080,18,1,3,1,11.04676027,25,0,3,0,1,0,0,0.994325024,4
1081,17,0,3,1,1.010149417,6,0,1,0,1,0,0,2.074699977,3
1082,18,1,2,2,0.877621767,25,0,2,0,0,0,0,0.500508036,4
1083,15,1,1,1,14.40746425,7,0,0,1,1,0,0,2.532438418,2
1084,18,0,2,1,8.88959956,16,0,1,0,1,0,0,1.463378036,4
1085,17,1,0,2,5.125847507,12,0,3,1,1,0,0,2.342836773,3
1086,17,1,2,3,3.80826992,23,0,3,0,0,0,0,1.158846334,4
1087,16,1,0,1,13.39906982,20,1,1,1,0,1,1,1.523748745,4
1088,15,0,2,1,0.008030881,27,0,1,0,0,1,0,0,4
1089,18,0,0,1,16.11782338,22,0,0,1,0,1,0,1.058622014,4
1090,16,0,2,1,1.584992123,10,0,2,0,0,1,1,2.229740184,3
1091,18,0,3,1,3.829792298,26,0,1,0,0,0,1,0.194743281,4
1092,18,1,0,2,7.724727906,0,0,2,1,1,0,0,3.506920071,0
1093,16,0,0,2,9.697174794,1,1,3,0,0,0,0,3.552286943,0
1094,16,0,3,2,7.099902316,16,1,3,0,1,0,0,2.238491354,3
1095,16,1,0,1,6.4142433,4,0,1,1,1,0,0,2.708472344,2
1096,16,1,2,3,19.27832024,29,0,3,0,0,0,1,0.732908234,4
1097,16,1,1,1,12.83159362,29,0,4,0,0,1,0,0.965482445,4
1098,18,0,0,2,0.468659107,5,0,2,0,1,0,0,2.55523286,2
1099,16,0,0,3,8.603518169,25,0,2,1,0,1,1,0.7443223,4
1100,15,0,0,1,17.50017399,24,0,2,0,0,0,0,0.722056581,4
1101,17,1,2,1,6.029123728,23,1,1,1,1,0,1,1.27122953,4
1102,16,1,0,3,1.891126895,6,0,3,1,0,1,1,2.526142141,2
1103,16,0,1,1,15.16769543,27,0,3,1,1,0,0,0.942415395,4
1104,18,1,0,2,12.12027664,20,1,2,0,1,0,0,1.515639098,4
1105,16,1,1,0,11.40625016,29,0,3,1,0,0,0,0.648273927,4
1106,16,1,2,2,1.071531192,14,0,3,0,1,1,1,2.048850082,3
1107,16,0,3,1,2.809980196,18,0,0,1,0,0,1,0.842295999,4
1108,18,1,0,0,12.45098792,15,0,1,0,1,0,0,1.464187924,4
1109,16,1,2,2,4.156476829,24,1,3,1,1,0,0,1.487946865,4
1110,17,0,2,1,10.08140159,12,1,4,0,0,0,0,2.587565796,2
1111,18,0,1,1,10.89763372,4,1,3,0,0,0,0,3.220806978,1
1112,17,1,3,0,5.670143805,2,1,4,0,0,1,0,3.545159432,0
1113,18,1,0,1,18.96850311,2,0,2,0,0,0,0,3.089598953,1
1114,16,0,0,1,16.84928214,18,1,1,0,1,1,0,1.91995644,4
1115,17,0,2,0,14.44747015,13,1,2,0,0,0,0,2.198593185,3
1116,18,1,0,3,1.559877328,15,0,0,0,0,0,1,0.878212617,4
1117,15,1,2,0,2.122600386,21,0,3,1,0,1,0,1.340368648,4
1118,16,1,2,2,9.855626917,16,0,4,0,0,0,0,1.819511336,4
1119,18,1,0,1,3.214266984,26,0,3,0,1,0,0,0.619350931,4
1120,15,0,2,1,19.56530927,3,0,2,1,0,1,1,3.61946087,0
1121,18,1,0,3,3.170404681,12,1,1,1,1,0,0,2.174902796,3
1122,15,1,1,1,9.749356709,7,1,1,0,1,1,0,2.974406015,2
1123,16,0,1,4,7.282421137,18,0,2,0,0,0,0,0.980735844,4
1124,17,1,3,1,12.78772843,4,0,3,0,0,0,0,3.101673809,1
1125,15,0,0,2,2.580728178,1,1,2,1,0,1,0,3.498257342,1
1126,18,1,0,2,8.606328561,14,0,4,1,0,0,0,2.590553445,2
1127,16,1,1,3,5.494100656,1,0,3,1,0,0,0,3.535003758,0
1128,15,0,2,2,17.75503049,10,1,1,0,1,0,0,2.819921745,2
1129,18,0,1,2,0.811714243,12,1,1,1,1,0,0,2.016596775,3
